videoID,videoTitle,videoType,watchTime_Min,views,aveViewDur,videoImpressions,videoCTR,videoNumClicks
9fxUBrC0eUM,Inconvenient Mathematics,Talk,411.1144,50,8.2223,81,9.8765,8
2jJyFO9QgX0,Pitfalls (Melbourne),Talk,106.472,12,8.8727,48,2.0833,1
f_zD8oPznrw,Coffee Series: Interview Questions,Coffee,83.1881,24,3.4662,177,2.8249,5
zQPCl4CfnMY,Coffee Series: Model Risk Management,Coffee,62.5255,8,7.8157,280,2.1429,6
AEsNhIoBGgw,Kaggle Series: Initiating a Data Science Consultation,Kaggle,59.5225,20,2.9761,231,3.0303,7
2o0oA7WcNVA,Coffee Series: Business Intelligence vs Data Science,Coffee,58.8613,15,3.9241,178,2.809,5
pLQuG32stZg,Coffee Series: Discriminate Without Discrimination,Coffee,56.6805,14,4.0486,82,2.439,2
6yVaBZ5TzfE,Kaggle Series: Technical Report Structure,Kaggle,53.2787,16,3.3299,195,1.0256,2
xXwhOqbrrzg,Visualisations: Introduction to googleVis,Visualisation,51.102,31,1.6484,78,5.1282,4
4DuoBANYX7w,Coffee Series: Shiny Scorecards,Coffee,48.7859,19,2.5677,156,1.9231,3
U4XmBdRKToQ,Pitfalls (Korea),Talk,44.0119,8,5.5015,133,1.5038,2
EfSt-U9O-fs,Real World Analytics: Academia vs Industry,Talk,44.0094,14,3.1435,214,3.7383,8
nt69OV-ThLc,Kaggle: Define phase v2,Kaggle,37.8828,22,1.7219,145,0,0
4JcsYNNuS_o,Kaggle Series: Adaptive documentation,Kaggle,33.1822,11,3.0166,124,5.6452,7
4ckVQT3xh-A,Kaggle Series: Intro to Interactive Analysis,Kaggle,32.3423,11,2.9402,279,2.1505,6
AXOAf41QLLM,Coffee Series: ML vs Baking,Coffee,30.0255,2,15.0128,169,1.1834,2
0_UuE8E4O1k,Channel Update,Other,29.4573,9,3.273,58,13.7931,8
wzyjNHJ3hYU,Coffee Series: Starting AI Projects,Coffee,24.5877,2,12.2938,151,0,0
E5XtjI_zlQY,Visualisation Series: Gauges!,Visualisation,24.4634,8,3.0579,72,2.7778,2
yfzVVMYo5kI,Real World Analytics: End-to-End,RWA,23.3133,9,2.5904,70,7.1429,5
aXK5ptH1jt0,Coffee Series: Data Science Projects,Coffee,18.7171,7,2.6739,726,0.8264,6
NsvNkWimKL0,Kaggle Series: Define,Kaggle,17.4077,8,2.176,144,2.7778,4
wXPG1Bd2heE,Kaggle Series: Submission,Kaggle,16.916,10,1.6916,119,5.042,6
0RfrMifwbtA,Coffee Series: Cambridge Analytica,Coffee,14.0899,5,2.818,27,3.7037,1
D3CgrY2MLwg,Coffee Series: Kaggle,Coffee,10.5705,1,10.5705,188,0,0
6G--6xjtv0o,Real World Analytics: Processes,RWA,10.1936,3,3.3979,16,6.25,1
4YMIV-t3jRw,Kaggle Series: Oops,Kaggle,9.9032,1,9.9032,64,0,0
0FyfY4XkLNs,Coffee Series: Data Analytics is not Dry Cleaning!,Coffee,8.5385,4,2.1346,52,1.9231,1
eC3I-EMcLi0,Modelling with Impact,Talk,7.7299,5,1.546,43,4.6512,2
NCHFX3yVzas,Coffee Series: Theology,Coffee,7.1257,3,2.3752,28,7.1429,2
ThHAfYrNYeM,Breaking the Bottleneck: From fast programs to fast projects,Talk,6.8116,1,6.8116,83,0,0
wPOjQIgUL7A,Coffee Series: Advice for your CV/Resume,Coffee,5.9681,5,1.1936,147,2.7211,4
fnR4dxqLHC8,Real World Analytics: Ways of Thinking,RWA,5.3151,3,1.7717,22,4.5455,1
PibOIejLwEQ,Coffee series: Excel or SQL?,Coffee,3.235,4,0.8087,104,2.8846,3
r95WyzjEY80,Coffee Series: HBR,Coffee,3.1192,4,0.7798,169,1.7751,3
wX7vARBzbJQ,Coffee Series:Infographic,Coffee,2.4088,3,0.8029,78,3.8462,3
vNe2xp-766o,Frequently Asked Questions,RWA,2.285,2,1.1425,11,18.1818,2
H-pU8I6u_Qk,Real World Analytics: PowerPoint (1/2),RWA,2.099,3,0.6997,77,2.5974,2
XFjhQCzGplY,Real World Analytics: PowerPoint (2/2),RWA,1.7339,2,0.8669,44,4.5455,2
aQVSPDbfpi8,Real World Analytics: Starting Positions,RWA,0,0,0,29,0,0
h9D0Mn-34qM,Coffee Series: Metrics,Coffee,0,0,0,29,0,0
kZkPLyjph6c,Coffee Series: Failures to Communicate,Coffee,0,0,0,1,0,0
